fn,pa_declare,cost_declare,handler_initial,fonction_commit_reel,categorie,pa_source,cout_source,payeur_caisse,cout_sur_echec,remarque
accord_diplomatique,2,0,ouvrirModalNegociationDiplomatique,proposerDiplomatie,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
acheter_bombe_illegale,2,0,doAcheterExplosifs,confirmerAchatExplosifs,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
acheter_bombe_mil,2,0,doObtenirExplosifsMilitaires,doObtenirExplosifsMilitaires,COMMIT IMMEDIAT,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
acheter_ghb,1,300,doAcheterPoisonObjet,confirmerAchatPoison,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
acheter_polonium,2,600,doAcheterPoisonObjet,confirmerAchatPoison,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
acheter_produit_stock,1,0,doAcheterProduitStock,appliquerTaxeTransaction,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
acheter_relique,1,500,doAcheterRelique,doAcheterRelique,COMMIT IMMEDIAT,aucun (jamais preleve),hardcode,PJ (state.arg),deterministe (pas de jet),
acheter_ressources_entrepot,1,0,doOuvrirAchatEntrepot,appliquer,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
acheter_terrain,2,33000,doAcheterTerrain,doAcheterTerrain,COMMIT IMMEDIAT,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
acheter_vipere,1,350,doAcheterPoisonObjet,confirmerAchatPoison,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
acte_officiel,1,50,doActeOfficiel,doActeOfficiel,COMMIT IMMEDIAT,aucun (jamais preleve),aucun (jamais preleve),PJ (state.arg),sans objet (cout=0 ou jamais preleve),
acte_officiel_mairie,1,0,ouvrirActeOfficielMairie,delivrerActe,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
acte_rachat_entreprise,1,0,doActeRachatEntreprise,traiterActeRachatEntrepriseParIndex,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
acte_rachat_entreprise_preemption,1,0,doActeRachatEntreprisePreemption,traiterActeRachatEntreprisePreemptionParIndex,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),"Ordre du 8/8 (Notaire). Finalise le transfert de propriete initie par preempter_entreprise. Chaine continue sans etape d'annulation intermediaire une fois lancee -- PA(1) jamais preleve, aucun cout personnel (finance par le pret national deja engage a l'etape precedente)."
acte_vente_terrain,1,300,doActeVenteTerrain,traiterActeVente,COMMIT DIFFERE,aucun (jamais preleve),variable(possible data.js/dynamique),PJ (state.arg),deterministe (pas de jet),
activer_cessez_le_feu,2,0,ouvrirActiverCessezLeFeu,confirmerActivationCessezLeFeu,COMMIT DIFFERE,aucun (jamais preleve),N/A,PJ (state.arg),sans objet (cout=0 ou jamais preleve),
