nom;batiment;salle;role;job;relation;FOR;CHA;DUP;INT;loyaute;photoUrl;date_ajout
Gérard Tamponneau (PNJ);Palais de l'Elysee de Republia;Hall d'honneur;PNJ - Chef du protocole presidentiel;protocole;neutral;;;;;;oui;
Garde Republicain (PNJ);Palais de l'Elysee de Republia;Hall d'honneur;PNJ - Securite presidentielle;garde;neutral;9;3;3;4;80;oui;
Le Président (PNJ);Palais de l'Elysee de Republia;Bureau du President;PNJ - Président de la République;president;neutral;;;;;;non;
Huguette Papier (PNJ);Palais de l'Elysee de Republia;Bureau du President;PNJ - Secretaire general de la presidence;secretaire_general;neutral;;;;;;oui;
Porte-parole presidentiel (PNJ);Palais de l'Elysee de Republia;Salle de Presse;PNJ - Porte-parole de la presidence;porteparole;neutral;;;;;;oui;
Gérard Tamponneau (PNJ);Palais de l'Elysee de Republia;Salle de Reception;PNJ - Organisation des evenements;protocole;neutral;;;;;;oui;
Nathalie Ondor (PNJ);Hotel-Restaurant La Republica;Accueil;Réceptionniste;hotelier;neutral;2;7;5;6;55;non;
Isidore Trébien (PNJ);Hotel-Restaurant La Republica;Accueil;Bagagiste;bagagiste;neutral;;;;;;non;
Gaston Sauceblanche (PNJ);Hotel-Restaurant La Republica;Salle du Restaurant;Maitre d'hotel;serveur;neutral;2;6;4;5;50;oui;
Régis Gondasse (PNJ);Hotel-Restaurant La Republica;Salle du Restaurant;Sommelier;serveur;neutral;2;6;4;5;50;oui;
Yvette Gratinée (PNJ);Hotel-Restaurant La Republica;Salle du Restaurant;Serveuse;serveur;neutral;2;6;4;5;50;oui;
Jean Dupont (PNJ);Hotel-Restaurant La Republica;Salle du Restaurant;Depute - Parti du Centre;commercant;neutral;3;7;6;6;40;oui;
Marie Leblanc (PNJ);Hotel-Restaurant La Republica;Salle du Restaurant;Journaliste - La Tribune;journaliste;enemy;2;7;6;8;35;oui;
Marco (Barman);Hotel-Restaurant La Republica;Bar;PNJ - Barman;barman;neutral;4;7;5;6;40;oui;
Natacha (PNJ);Hotel-Restaurant La Republica;Bar;Escort — Agence Roxane Velours;escort;neutral;2;10;8;7;25;oui;
Julien (PNJ);Hotel-Restaurant La Republica;Bar;Escort — Agence Roxane Velours;escort;neutral;2;10;8;7;25;oui;
Un lobbyiste;Hotel-Restaurant La Republica;Bar;Inconnu - Discretion de mise;;neutral;;;;;;non;
Garde Martineau;Palais du Gouvernement;Hall d'entree;PNJ - Securite;garde;neutral;9;3;3;4;80;non;
Secretaire Dupuis;Palais du Gouvernement;Hall d'entree;PNJ - Accueil officiel;secretaire;neutral;2;7;5;8;55;non;
Chef de Cabinet (PNJ);Palais du Gouvernement;Bureau du Premier Ministre;PNJ - Chef de cabinet du PM;chef_cabinet;neutral;;;;;;oui;
Premier Ministre (PNJ);Palais du Gouvernement;Salle du Conseil;Chef du gouvernement;pm;neutral;;;;;;non;
Porte-parole (PNJ);Palais du Gouvernement;Salle de Presse;PNJ - Porte-parole du gouvernement;porteparole;neutral;;;;;;non;
Journalistes accredites;Palais du Gouvernement;Salle de Presse;PNJ - Presse nationale;journaliste;neutral;2;7;6;8;35;non;
Archiviste Legrand (PNJ);Palais du Gouvernement;Archives Gouvernementales;PNJ - Archiviste en chef;archiviste;neutral;;;;;;non;
Le Ministre de l'Intérieur (PNJ);Palais du Gouvernement;Bureau - Ministre de l'Interieur;PNJ - Ministre de l'Interieur;min_int;neutral;;;;;;non;
Le Ministre des Finances (PNJ);Palais du Gouvernement;Bureau - Ministre des Finances;PNJ - Ministre des Finances;min_fin;neutral;;;;;;non;
Le Ministre de la Justice (PNJ);Palais du Gouvernement;Bureau - Ministre de la Justice;PNJ - Ministre de la Justice;min_just;neutral;;;;;;non;
Le Ministre de la Défense (PNJ);Palais du Gouvernement;Bureau - Ministre de la Defense;PNJ - Ministre de la Defense;min_def;neutral;;;;;;non;
Le Ministre de l'Information (PNJ);Palais du Gouvernement;Bureau - Ministre de l'Information;PNJ - Ministre de l'Information;min_info;neutral;;;;;;non;
