fn,label,pa_data_js,pa_affiche_bouton,cost_data_js,cost_affiche_bouton,statut,cause_probable,ligne_data_js
marche_noir,Marché Noir,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",183
sinscrire_demandeur_emploi,,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",234
consulter_offres_emploi,,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",235
demissionner_emploi_bne,Démissionner de mon emploi,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",236
marche_noir,Marché Noir,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",432
marche_noir,Marché Noir,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",663
marche_noir,Marché Noir,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",914
reserver_chambre_hotel,Reserver une chambre,1,0,80,80,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1181
choisir_suite,Louer une suite,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1182
repas_gastronomique,Se nourrir,0,0,120,120,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1199
diner_affaires,Diner d\,2,0,300,300,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1200
ecouter_rumeurs,Ecouter les tables,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1201
lancer_rumeur_cible,Lancer une rumeur,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1202
boire_verre,Offrir un verre,0,0,50,50,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1218
ecouter_rumeurs,Ecouter le barman,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1219
recruter_informateur_pnj,Recruter un informateur,1,0,150,150,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1220
escort_piege,Organiser une rencontre piège,3,0,800,800,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1221
dormir_chambre,Dormir,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1232
service_etage,Faire appel au service d\,0,0,150,150,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1233
gerer_local,Gérer mon local,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1245
gerer_local,Gérer mon local,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1257
solliciter_audience_president,Solliciter une audience,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1284
creer_poste_ministre,Creer un poste ministeriel,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1298
creer_comite,Creer un comite,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1299
supprimer_poste_custom,Supprimer un poste cree,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1300
nommer_ministre,Nommer un Premier Ministre,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1301
revoquer_pm,Revoquer le Premier Ministre,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1302
etat_urgence,Declarer l\,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1303
declarer_guerre,Declarer la guerre,5,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1304
gracier,Traiter les demandes de grâce,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1305
dissoudre_assemblee,Dissoudre l\,4,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1306
decret_referendum,Ordonner un referendum,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1307
jour_deuil,Decret de deuil national,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1308
decret_inutile,Signer un decret,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1309
conference_presse,Conference de presse,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1321
propagande_etat,Propagande d\,3,0,500,500,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1322
dementi,Dementi officiel,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1323
reception_etat,Organiser une reception,2,0,1000,1000,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1335
banquet_diplo,Banquet diplomatique,3,0,2000,2000,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1336
postuler,Postuler a un poste,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1361
organigramme,Organigramme du pays,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1362
nommer_ministre_pm,Nommer des ministres,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1374
revoquer_ministre_pm,Revoquer un ministre,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1375
declencher_vote_confiance,Déclencher un vote de confiance,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1376
conference_presse,Conférence de presse,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1399
propagande_etat,Campagne de propagande,3,0,500,500,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1400
dementi,Démenti officiel,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1401
consulter_dossiers_gouv,Consulter des dossiers,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1413
fuite_info,Produire une fuite,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1414
mobiliser_police,Faire intervenir les forces de l\,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1427
traiter_manifestations,Traiter les demandes de manifestation,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1428
demandes_naturalisation,Demandes de naturalisation,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1429
gerer_couvre_feu,Instaurer un couvre-feu,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1430
subvention_min_int,Allouer une subvention,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1431
interdire_manif,Interdire une manifestation,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1432
reprimer_manif,Reprimer une manifestation,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1433
fixer_impots_nationaux,Fixer le taux d\,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1444
redressement_fiscal,Ordonner un redressement,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1445
subvention,Accorder une subvention,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1446
fiscal,Repartition budgetaire,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1447
gerer_candidatures_directeurs,Gérer les candidatures de directeurs,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1448
allegement_fiscal,Allegement fiscal sectoriel,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1449
preempter_entreprise,Droit de preemption sur une entreprise,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1450
annuler_poursuites,Classer une plainte,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1461
ouvrir_enquete,Ouvrir une enquete,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1462
proposer_grace,Proposer une grace,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1463
nommer_juge,Nommer un juge,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1464
revoquer_juge,Revoquer un juge,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1465
gestion_qhs,Gestion du QHS,0,0,0,0,OK,"pa declare = 0, donc affichage 0 PA correct par coincidence",1466
mobiliser_armee,Mobiliser l\,4,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1477
activer_cessez_le_feu,Activer un cessez-le-feu,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1478
nommer_commandant,Nommer le Commandant,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1479
recruter_compagnie,Recruter une compagnie,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1480
renseignement,Lancer une operation de renseignement,3,0,500,500,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1481
requisition_civile,Réquisition civile,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1482
gerer_candidature_commandant,Gérer les candidatures au Commandant,1,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1483
propagande_etat,Campagne de propagande,3,0,500,500,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1494
censurer_media,Censurer un media,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1495
commanditer_sondage,Commanditer un sondage,1,0,200,200,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1496
dementi,Dementi officiel,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1497
proposer_treve,Proposer une trêve,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1508
accord_diplomatique,Ouvrir des negociations diplomatiques,2,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1509
signer_traite,Signer un traite,3,0,0,0,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1510
ouvrir_ambassade,Ouvrir une ambassade,2,0,1000,1000,DIVERGENCE,"TEST_MODE ? '0 PA' : o.pa+' PA' (plateau-politique.js:1544) -- cosmetique, doOrder recoit quand meme o.pa reel",1511
