fn;label;batiment;salle;poste_requis;taux_reel_pct;palier_propose;palier_canon_pct;categorie;methode_obtention;statut_audit;description
solliciter_audience_president;Solliciter une audience;Palais Présidentiel;Hall d'honneur;(aucun);100;Automatique;100;Autres;doOrder-custom-handler;OK;0 PA. Aucun indice. Message automatique transmis au President par mail. Il vous repondra directement.
creer_poste_ministre;Creer un poste ministeriel;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Creer un poste de ministre personnalise. Limite : 1 poste + 1 comite.
creer_comite;Creer un comite;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Creer un comite special. Limite : 1 comite.
supprimer_poste_custom;Supprimer un poste cree;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Supprimer un poste ou comite precedemment cree.
nommer_ministre;Nommer un Premier Ministre;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Nommer un PJ a un poste ministeriel. Envoie un mail au candidat.
revoquer_pm;Revoquer le Premier Ministre;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Retirer le poste au Premier Ministre actuel.
etat_urgence;Declarer l'etat d'urgence;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Suspend certaines libertes. Fort impact sur INF et POP.
declarer_guerre;Declarer la guerre;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Declarer la guerre a un empire. Consequences majeures.
gracier;Traiter les demandes de grâce;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Examiner les recommandations de grace du Ministre de la Justice — accepter ou refuser.
dissoudre_assemblee;Dissoudre l'Assemblee;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Declenche de nouvelles elections legislatives. Risque politique majeur.
decret_referendum;Ordonner un referendum;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Soumettre une question au vote populaire.
jour_deuil;Decret de deuil national;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Symbolique fort. +POP si populaire, -POP si conteste.
decret_inutile;Signer un decret;Palais Présidentiel;Bureau du President;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Decret absurde généré par IA. Effets parodiques sur POP et INF. Publiable sur le forum.
conference_presse;Conference de presse;Palais Présidentiel;Salle de Presse;president;100;Automatique;100;Fonction;doOrder-custom-handler;OK;Annonce presidentielle. Fort impact POP et INF.
